Service Tag, MAC Address, Known Hostname,
DFD27T3, CC:96:E5:07:E6:95, CES-205002,
JFD27T3, CC:96:E5:07:E6:F1, CES-205001,
7DD27T3, CC:96:E5:07:E2:E2, CES-205004,
CFD27T3, CC:96:E5:07:E5;F2, CES-205003,
HFD27T3, CC:96:E5:07:E6:A4, CES-205006,
9FD27T3, CC:96:E5:07:E5:44, CES-205005,
BDD27T3, CC:96:E5:07:E4:96, CES-205028,
7FD27T3, CC:96:E5:07:E6:A1, CES-205027,
6FD27T3, CC:96:E5:07:E2:21, CES-205025,
BFD27T3, CC:96:E5:07:E6:48, CES-205010,
FFD27T3, CC:96:E5:07:E5:B3, CES-205009,
JDD27T3, CC:96:E5:07:E7:0A, CES-205026,
9DD27T3, CC:96:E5:07:E7:2C, CES-205024,
GFD27T3, CC:96:E5:07:E6:FE, CES-205023,
8DD27T3, CC:96:E5:07:E3:5D, CES-205018,
1FD27T3, CC:96:E5:07:E7:42, CES-205017,
8FD27T3, CC:96:E5:07:E6:9D, CES-205020,
2FD27T3, CC:96:E5:07:E5:6F, CES-205019,
FDD27T3, CC:96:E5:07:E7:2F, CES-205021,
GDD27T3, CC:96:E5:07:E6:9B, CES-205022,
6DD27T3, CC:96:E5:07:E1:EC, CES-205011,
4FD27T3, CC:96:E5:07:E7:23, CES-205012,
